featurizer,dataset_and_task,n_valid,rogi
descriptor,DOCKSTRING/PPARG,10000,0.17269793198291228
descriptor,DOCKSTRING/PPARG,10000,0.19354887708649046
descriptor,DOCKSTRING/PPARG,10000,0.18328697630154256
descriptor,DOCKSTRING/PPARG,10000,0.18678329080545103
descriptor,DOCKSTRING/HMGCR,10000,0.16279446776222417
descriptor,DOCKSTRING/HMGCR,10000,0.1675679090807991
descriptor,DOCKSTRING/HMGCR,10000,0.16866795399446766
descriptor,DOCKSTRING/HMGCR,10000,0.17700868741074532
descriptor,DOCKSTRING/HMGCR,10000,0.1647815440913068
descriptor,DOCKSTRING/AKT1,10000,0.08047309497895885
descriptor,DOCKSTRING/AKT1,10000,0.07504461898732515
descriptor,DOCKSTRING/AKT1,10000,0.09928108766911276
descriptor,DOCKSTRING/AKT1,10000,0.1070850250444556
descriptor,DOCKSTRING/AKT1,10000,0.15492045558446796
descriptor,DOCKSTRING/CSF1R,10000,0.18067302860016432
descriptor,DOCKSTRING/CSF1R,10000,0.18504858538555619
descriptor,DOCKSTRING/CSF1R,10000,0.17456641236213494
descriptor,DOCKSTRING/CSF1R,10000,0.17450811128313445
descriptor,DOCKSTRING/CSF1R,10000,0.16818557474070223
descriptor,DOCKSTRING/DRD3,10000,0.1259092776355239
descriptor,DOCKSTRING/DRD3,10000,0.10151426806785394
descriptor,DOCKSTRING/DRD3,10000,0.10594336322851042
descriptor,DOCKSTRING/DRD3,10000,0.1186383060592988
descriptor,DOCKSTRING/DRD3,10000,0.20883199697858001
descriptor,DOCKSTRING/JAK2,10000,0.169040389983592
descriptor,DOCKSTRING/JAK2,10000,0.16132550423043243
descriptor,DOCKSTRING/JAK2,10000,0.18308312191983311
descriptor,DOCKSTRING/JAK2,10000,0.16798339263509138
descriptor,DOCKSTRING/JAK2,10000,0.17096280251535112
descriptor,DOCKSTRING/PDE5A,10000,0.1697521072887882
descriptor,DOCKSTRING/PDE5A,10000,0.17919662114446722
descriptor,DOCKSTRING/PDE5A,10000,0.19801685108858086
descriptor,DOCKSTRING/PDE5A,10000,0.16328739272584988
descriptor,DOCKSTRING/PDE5A,10000,0.19483162563184941
descriptor,DOCKSTRING/LCK,10000,0.18602302637689122
descriptor,DOCKSTRING/LCK,10000,0.16296252362705654
descriptor,DOCKSTRING/LCK,10000,0.17307175401182182
descriptor,DOCKSTRING/LCK,10000,0.1865295565106132
descriptor,DOCKSTRING/LCK,10000,0.19168726184375157
descriptor,DOCKSTRING/PGR,10000,0.09107119395814031
descriptor,DOCKSTRING/PGR,10000,0.04240488276785058
descriptor,DOCKSTRING/PGR,10000,0.08750924312473579
descriptor,DOCKSTRING/PGR,10000,0.07193430899256838
descriptor,DOCKSTRING/PGR,10000,0.1002909628194499
descriptor,DOCKSTRING/CA2,10000,0.19889626726337675
descriptor,DOCKSTRING/CA2,10000,0.16321148934114194
descriptor,DOCKSTRING/CA2,10000,0.18500630787736483
descriptor,DOCKSTRING/CA2,10000,0.17531488049433513
descriptor,DOCKSTRING/CA2,10000,0.18174655671950574
descriptor,DOCKSTRING/ESR2,10000,0.19999366523415504
descriptor,DOCKSTRING/ESR2,10000,0.1783000863675235
descriptor,DOCKSTRING/ESR2,10000,0.20488267610312805
descriptor,DOCKSTRING/ESR2,10000,0.21646095123603426
descriptor,DOCKSTRING/ESR2,10000,0.20534673881072946
descriptor,DOCKSTRING/EGFR,10000,0.16462389015612328
descriptor,DOCKSTRING/EGFR,10000,0.1723996104606947
descriptor,DOCKSTRING/EGFR,10000,0.1966939696169984
descriptor,DOCKSTRING/EGFR,10000,0.18886037393595584
descriptor,DOCKSTRING/EGFR,10000,0.16374557964740416
descriptor,DOCKSTRING/DPP4,10000,0.19687334225523825
descriptor,DOCKSTRING/DPP4,10000,0.17903610381140034
descriptor,DOCKSTRING/DPP4,10000,0.17678707657465859
descriptor,DOCKSTRING/DPP4,10000,0.17899825324263177
descriptor,DOCKSTRING/DPP4,10000,0.18223476231796
descriptor,DOCKSTRING/ABL1,10000,0.20945454363216104
descriptor,DOCKSTRING/ABL1,10000,0.20265962154305753
descriptor,DOCKSTRING/ABL1,10000,0.19040961264125406
descriptor,DOCKSTRING/ABL1,10000,0.20031278825449114
descriptor,DOCKSTRING/ABL1,10000,0.2122486406849184
descriptor,DOCKSTRING/ADORA2A,10000,0.18454689219874293
descriptor,DOCKSTRING/ADORA2A,10000,0.18077264444193414
descriptor,DOCKSTRING/ADORA2A,10000,0.190212416497126
descriptor,DOCKSTRING/ADORA2A,10000,0.17207617094019897
descriptor,DOCKSTRING/ADORA2A,10000,0.17990552712589492
descriptor,DOCKSTRING/ACHE,10000,0.1880028382112417
descriptor,DOCKSTRING/ACHE,10000,0.19990895163222178
